Name,Hex (24 bit),Red ,Green,Blue,Hue (degrees),HSL.S (%),"HSL.L (%), HSV.S (%), HSV.V (%)",,
Pink,#FC89AC,252,137,172,342,95,76,,
Blue,#0ABAB5,10,186,181,178,90,38,,
Yellow,#E08D3C,224,141,60,30,73,56,,
Gray,#DBD7D2,219,215,210,33,11,84,,
Yellow,#EEE600,238,230,0,58,100,47,,
Red,#FF6347,255,99,71,9,100,64,,
Purple,#746CC0,116,108,192,246,40,59,,
Yellow,#FFC87C,255,200,124,35,100,74,,
Red,#FD0E35,253,14,53,350,98,52,,
Gray,#808080,128,128,128,0,0,50,,
Green,#00755E,0,117,94,168,100,23,,
Purple,#CDA4DE,205,164,222,282,47,76,,
Blue,#0073CF,0,115,207,207,100,41,,
Blue,#3E8EDE,62,142,222,210,71,56,,
Pink,#FF878D,255,135,141,357,100,76,,
Brown,#DEAA88,222,170,136,24,57,70,,
Pink,#B57281,181,114,129,347,31,58,,
Blue,#40E0D0,64,224,208,174,72,56,,
Blue,#00FFEF,0,255,239,176,100,50,,
Green,#A0D6B4,160,214,180,142,40,73,,
Blue,#00C5CD,0,197,205,182,100,40,,
Green,#8A9A5B,138,154,91,75,26,48,,
Orange,#FAD6A5,250,214,165,35,89,81,,
Brown,#6F4E37,111,78,55,25,34,33,,
Red,#7C4848,124,72,72,0,27,38,,
Brown,#A67B5B,166,123,91,26,30,50,,
Pink,#C09999,192,153,153,0,24,68,,
Purple,#8A496B,138,73,107,329,31,41,,
Purple,#66023C,102,2,60,325,96,20,,
Blue,#0033AA,0,51,170,222,100,33,,
Red,#D9004C,217,0,76,342,100,43,,
Purple,#8878C3,136,120,195,253,39,62,,
Blue,#536895,83,104,149,221,28,46,,
Yellow,#FFB300,255,179,0,42,100,50,,
Green,#3CD070,60,208,112,141,61,53,,
Blue,#3F00FF,18,10,143,244,87,30,,
Blue,#4166F5,65,102,245,228,90,61,,
Pink,#FF6FFF,255,111,255,300,100,72,,
Red,#FC6C85,252,108,133,350,96,71,,
Brown,#635147,99,81,71,21,16,33,,
White,#FFDDCA,255,221,202,22,100,90,,
Blue,#5B92E5,91,146,229,216,73,63,,
Yellow,#B78727,183,135,39,40,65,44,,
Yellow,#FFFF66,255,255,102,60,100,70,,
Green,#014421,1,68,33,149,97,14,,
Red,#7B1113,123,17,19,359,76,27,,
Red,#AE2029,174,32,41,356,69,40,,
Yellow,#E1AD21,225,173,33,44,76,51,,
Blue,#004F98,0,79,152,209,100,30,,
Red,#990000,153,0,0,0,100,30,,
Yellow,#FFCC00,255,204,0,48,100,50,,
Orange,#F77F00,247,127,0,31,100,48,,
Red,#D3003F,211,0,63,342,100,41,,
Brown,#664228,102,66,40,25,44,28,,
Yellow,#F3E5AB,243,229,171,48,75,81,,
Pink,#F38FA9,243,143,169,344,81,76,,
Yellow,#C5B358,197,179,88,50,48,56,,
Red,#C80815,200,8,21,356,92,41,,
Blue,#43B3AE,67,179,174,177,46,48,,
Red,#E34234,227,66,52,5,76,55,,
Red,#D9381E,217,56,30,8,76,48,,
Purple,#A020F0,160,32,240,277,87,53,,
Blue,#74BBFB,116,187,251,208,94,72,,
Blue,#6666FF,102,102,255,240,100,70,,
Green,#64E986,100,233,134,135,75,65,,
Orange,#FFB077,255,176,119,25,100,73,,
Orange,#FFDFBF,255,223,191,30,100,88,,
Yellow,#FFFFBF,255,255,191,60,100,88,,
Purple,#8F00FF,143,0,255,274,100,50,,
Purple,#7F00FF,127,0,255,270,100,50,,
Purple,#8601AF,134,1,175,286,99,35,,
Purple,#EE82EE,238,130,238,300,76,72,,
Blue,#324AB2,50,74,178,229,56,45,,
Pink,#F75394,247,83,148,336,91,65,,
Green,#40826D,64,130,109,161,34,38,,
Green,#009698,0,150,152,181,100,30,,
Blue,#7C9ED9,124,158,217,218,55,67,,
Yellow,#CC9900,204,153,0,45,100,40,,
Red,#922724,146,39,36,2,60,36,,
Red,#9F1D35,159,29,53,349,69,37,,
Pink,#DA1D81,218,29,129,328,77,48,,
Blue,#00AAEE,0,170,238,197,100,47,,
Red,#CC0033,204,0,51,345,100,40,,
Orange,#FF9900,255,153,0,36,100,50,,
Green,#A6D608,166,214,8,74,93,44,,
Green,#00CC33,0,204,51,135,100,40,,
Purple,#B80CE3,184,12,227,288,90,47,,
Orange,#FF5F00,255,95,0,22,100,50,,
Orange,#FFA000,255,160,0,18,100,50,,
Purple,#CC00FF,204,0,255,288,100,50,,
Pink,#FF006C,255,0,108,335,100,50,,
Red,#F70D1A,247,13,26,357,94,51,,
Orange,#DF6124,223,97,36,20,75,51,,
Blue,#00CCFF,0,204,255,192,100,50,,
Orange,#F07427,240,116,39,23,87,55,,
Orange,#FFA089,255,160,137,12,100,77,,
Orange,#E56024,229,96,36,19,79,52,,
Purple,#9F00FF,159,0,255,277,100,50,,
Yellow,#FFE302,255,227,2,53,100,50,,
Green,#CEFF00,205,255,0,72,100,50,,
Green,#34B233,52,178,51,120,56,45,,
Green,#004242,0,66,66,180,100,13,,
Blue,#A4F4F9,164,244,249,184,88,81,,
Blue,#7C98AB,124,152,171,204,22,58,,
Brown,#645452,100,84,82,7,10,36,,
Yellow,#F5DEB3,245,222,179,39,77,83,,
White,#FFFFFF,255,255,255,0,0,100,,
White,#F5F5F5,245,245,245,0,0,96,,
Blue,#A2ADD0,162,173,208,226,33,73,,
Pink,#D470A2,212,112,162,330,54,64,,
Pink,#FF43A4,255,67,164,329,100,63,,
Pink,#FC6C85,252,108,133,350,96,71,,
Orange,#FD5800,253,88,0,21,100,50,,
Brown,#A75502,167,85,2,30,98,33,,
Red,#722F37,114,47,55,353,42,32,,
Red,#673147,103,49,71,336,36,30,,
Pink,#FF007C,255,0,124,331,100,50,,
Blue,#A0E6FF,160,230,255,196,100,81,,
Green,#56887D,86,136,125,167,23,44,,
Purple,#C9A0DC,201,160,220,281,46,75,,
Brown,#C19A6B,193,154,107,33,41,59,,
Green,#738678,115,134,120,136,8,49,,
Blue,#0F4D92,15,77,146,212,81,32,,
Blue,#1C2841,28,40,65,221,40,18,,
Yellow,#FFFF00,255,255,0,60,100,50,,
Yellow,#FCE883,252,232,131,50,95,75,,
Yellow,#EFCC00,239,204,0,51,100,47,,
Yellow,#FFD300,255,211,0,50,100,50,,
Yellow,#FEDF00,254,223,0,53,100,50,,
Yellow,#FFEF00,255,239,0,56,100,50,,
Yellow,#FEFE33,254,254,51,60,99,60,,
Green,#9ACD32,154,205,50,80,61,50,,
Orange,#FFAE42,255,174,66,34,100,63,,
Yellow,#FFF000,255,240,0,56,100,50,,
Yellow,#FFF700,255,247,0,58,100,50,,
Blue,#0014A8,0,20,168,233,100,33,,
Brown,#2C1608,44,22,8,23,69,10,,
Green,#39A78E,57,167,142,166,49,44,,
